virus	virusid	host	hostid	coronavirus
japanese encephalitis virus	3435860	myotis macrodactylus	3658577	0
japanese encephalitis virus	3435860	myotis mystacinus	3581329	0
japanese encephalitis virus	3435860	myotis ricketti	3673960	0
japanese encephalitis virus	3435860	nyctereutes procyonoides	3451573	0
japanese encephalitis virus	3435860	ovis aries	3434136	0
japanese encephalitis virus	3435860	pipistrellus abramus	3573948	0
japanese encephalitis virus	3435860	plecotus auritus	3498351	0
japanese encephalitis virus	3435860	pongo pygmaeus	3433562	0
japanese encephalitis virus	3435860	procyon lotor	3433651	0
japanese encephalitis virus	3435860	pteropus alecto	3433245	0
japanese encephalitis virus	3435860	pteropus scapulatus	3554537	0
japanese encephalitis virus	3435860	rhinolophus affinis	3494227	0
japanese encephalitis virus	3435860	rhinolophus ferrumequinum	3494231	0
japanese encephalitis virus	3435860	rhinolophus macrotis	3667523	0
japanese encephalitis virus	3435860	rhinolophus pusillus	3633429	0
japanese encephalitis virus	3435860	rhinolophus rouxii	3546012	0
japanese encephalitis virus	3435860	rousettus leschenaultii	3433257	0
japanese encephalitis virus	3435860	scotophilus kuhlii	3627544	0
japanese encephalitis virus	3435860	sus scrofa	3433956	0
japanese encephalitis virus	3435860	taphozous melanopogon	3658566	0
japanese encephalitis virus	3435860	vespertilio sinensis	3573905	0
jatobal orthobunyavirus	3624523	nasua nasua	3433645	0
jeju orthohantavirus	24580125	crocidura shantungensis	3655543	0
jeju orthohantavirus	24580125	crocidura suaveolens	3482026	0
jemez springs virus	3907868	sorex bairdi	3588085	0
jemez springs virus	3907868	sorex monticolus	3500245	0
jemez springs virus	3907868	sorex palustris	3470917	0
jemez springs virus	3907868	sorex trowbridgii	3500251	0
jemez springs virus	3907868	sorex vagrans	3500249	0
jerboa arenavirus	2050008	dipus sagitta	3518503	0
jerboa hantavirus	2050012	dipus sagitta	3518503	0
jun jeilongvirus	3777906	mus musculus	3434366	0
juquitiba virus	3876175	akodon cursor	3443354	0
juquitiba virus	3876175	akodon montensis	3575432	0
juquitiba virus	3876175	akodon paranaensis	3698098	0
juquitiba virus	3876175	homo sapiens	3433574	0
juquitiba virus	3876175	oligoryzomys fornesi	3689443	0
juquitiba virus	3876175	oligoryzomys nigripes	3454993	0
juquitiba virus	3876175	oxymycterus judex	3666774	0
juquitiba virus	3876175	thaptomys nigrita	3545531	0
jutiapa virus	3502585	sigmodon hispidus	3464368	0
kadipiro virus	3572703	homo sapiens	3433574	0
kaeng khoi orthobunyavirus	3764111	chaerephon plicatus	3918785	0
kairi orthobunyavirus	3531117	equus caballus	3433909	0
kappaarterivirus wobum	27220424	trichosurus vulpecula	3433135	0
kappapapillomavirus 1	3599586	oryctolagus cuniculus	3434201	0
kappapapillomavirus 2	3435176	oryctolagus cuniculus	3434201	0
kappapapillomavirus 2	3435176	sylvilagus audubonii	3445677	0
kappapapillomavirus 2	3435176	sylvilagus floridanus	3434205	0
kasokero orthonairovirus	22681961	rousettus aegyptiacus	3433255	0
kenkeme orthohantavirus	4114189	sorex roboratus	3499129	0
kenya bat coronavirus btky01	4063158	otomops martiensseni	3723813	1
kenya bat coronavirus btky02	4063159	otomops martiensseni	3723813	1
kenya bat coronavirus btky03	4063160	cardioderma cor	3734451	1
kenya bat coronavirus btky05	4063162	rousettus aegyptiacus	3433255	1
kenya bat coronavirus btky07	4063163	hipposideros commersoni	3583810	1
kenya bat coronavirus btky08	4063164	rousettus aegyptiacus	3433255	1
kenya bat coronavirus btky09	4063165	rousettus aegyptiacus	3433255	1
kenya bat coronavirus btky10	4063166	rousettus aegyptiacus	3433255	1
kenya bat coronavirus btky100	4193755	eidolon helvum	3524418	1
kenya bat coronavirus btky101	4193756	eidolon helvum	3524418	1
kenya bat coronavirus btky102	4193757	eidolon helvum	3524418	1
kenya bat coronavirus btky103	4193758	eidolon helvum	3524418	1
kenya bat coronavirus btky104	4193759	eidolon helvum	3524418	1
kenya bat coronavirus btky105	4193760	eidolon helvum	3524418	1
kenya bat coronavirus btky106	4193761	eidolon helvum	3524418	1
kenya bat coronavirus btky107	4193762	eidolon helvum	3524418	1
kenya bat coronavirus btky108	4193763	eidolon helvum	3524418	1
kenya bat coronavirus btky109	4193764	eidolon helvum	3524418	1
kenya bat coronavirus btky11	4063167	rousettus aegyptiacus	3433255	1
kenya bat coronavirus btky110	4193765	eidolon helvum	3524418	1
kenya bat coronavirus btky111	4193766	eidolon helvum	3524418	1
kenya bat coronavirus btky112	4193767	eidolon helvum	3524418	1
kenya bat coronavirus btky12	4063168	rousettus aegyptiacus	3433255	1
kenya bat coronavirus btky13	4063169	rousettus aegyptiacus	3433255	1
kenya bat coronavirus btky18	4063173	eidolon helvum	3524418	1
kenya bat coronavirus btky19	4063174	eidolon helvum	3524418	1
kenya bat coronavirus btky20	4063175	eidolon helvum	3524418	1
kenya bat coronavirus btky23	4063177	eidolon helvum	3524418	1
kenya bat coronavirus btky24	4063178	eidolon helvum	3524418	1
kenya bat coronavirus btky25	4063179	rousettus aegyptiacus	3433255	1
kenya bat coronavirus btky28	4063180	rousettus aegyptiacus	3433255	1
kenya bat coronavirus btky29	4063181	rousettus aegyptiacus	3433255	1
kenya bat coronavirus btky30	4063182	miniopterus inflatus	3690113	1
kenya bat coronavirus btky31	4063183	miniopterus inflatus	3690113	1
kenya bat coronavirus btky33/2006	2042642	miniopterus inflatus	3690113	1
kenya bat coronavirus btky34	4063184	miniopterus inflatus	3690113	1
kenya bat coronavirus btky35	4063185	miniopterus inflatus	3690113	1
kenya bat coronavirus btky36	4063186	miniopterus inflatus	3690113	1
kenya bat coronavirus btky37	4063187	miniopterus inflatus	3690113	1
kenya bat coronavirus btky40	4063189	chaerephon pumilus	3708738	1
kenya bat coronavirus btky42	4063190	miniopterus africanus	3886106	1
kenya bat coronavirus btky44	4193769	eidolon helvum	3524418	1
kenya bat coronavirus btky45	4193770	eidolon helvum	3524418	1
kenya bat coronavirus btky46	4193771	eidolon helvum	3524418	1
kenya bat coronavirus btky47	4193772	eidolon helvum	3524418	1
kenya bat coronavirus btky48	4193773	eidolon helvum	3524418	1
kenya bat coronavirus btky49	4193774	eidolon helvum	3524418	1
kenya bat coronavirus btky50	4193775	eidolon helvum	3524418	1
kenya bat coronavirus btky51	4193776	eidolon helvum	3524418	1
kenya bat coronavirus btky52	4193777	eidolon helvum	3524418	1
kenya bat coronavirus btky53	4193778	eidolon helvum	3524418	1
kenya bat coronavirus btky54	4193779	epomophorus labiatus	24565844	1
kenya bat coronavirus btky55	4193780	epomophorus labiatus	24565844	1
kenya bat coronavirus btky56	4193781	epomophorus labiatus	24565844	1
kenya bat coronavirus btky57	4193782	rhinolophus landeri	3954105	1
kenya bat coronavirus btky58	4193783	rhinolophus landeri	3954105	1
kenya bat coronavirus btky59	4193784	rhinolophus landeri	3954105	1
kenya bat coronavirus btky60	4193785	eidolon helvum	3524418	1
kenya bat coronavirus btky61	4193786	miniopterus natalensis	3750009	1
kenya bat coronavirus btky62	4193787	miniopterus natalensis	3750009	1
kenya bat coronavirus btky63	4193788	miniopterus natalensis	3750009	1
kenya bat coronavirus btky64	4193789	miniopterus natalensis	3750009	1
kenya bat coronavirus btky65	4193790	miniopterus natalensis	3750009	1
kenya bat coronavirus btky66	4193791	miniopterus natalensis	3750009	1
kenya bat coronavirus btky67	4193792	miniopterus natalensis	3750009	1
kenya bat coronavirus btky76	4193801	rousettus aegyptiacus	3433255	1
kenya bat coronavirus btky77	4193802	rousettus aegyptiacus	3433255	1
kenya bat coronavirus btky78	4193803	rousettus aegyptiacus	3433255	1
kenya bat coronavirus btky79	4193804	rousettus aegyptiacus	3433255	1
kenya bat coronavirus btky80	4193805	rousettus aegyptiacus	3433255	1
kenya bat coronavirus btky84	4193809	eidolon helvum	3524418	1
kenya bat coronavirus btky85	4193810	eidolon helvum	3524418	1
kenya bat coronavirus btky86	4193811	eidolon helvum	3524418	1
kenya bat coronavirus btky87	4193812	eidolon helvum	3524418	1
kenya bat coronavirus btky88	4193813	eidolon helvum	3524418	1
kenya bat coronavirus btky89	4193814	eidolon helvum	3524418	1
kenya bat coronavirus btky90	4193815	eidolon helvum	3524418	1
