virus	virusid	host	hostid	coronavirus
lymphocryptovirus 2	24657645	pongo pygmaeus	3433562	0
lymphocryptovirus 2	24657645	symphalangus syndactylus	3433546	0
lymphocytic choriomeningitis mammarenavirus	3436487	apodemus agrarius	3458388	0
lymphocytic choriomeningitis mammarenavirus	3436487	apodemus flavicollis	3484976	0
lymphocytic choriomeningitis mammarenavirus	3436487	apodemus sylvaticus	3434424	0
lymphocytic choriomeningitis mammarenavirus	3436487	arvicola scherman	25926059	0
lymphocytic choriomeningitis mammarenavirus	3436487	callimico goeldii	3433396	0
lymphocytic choriomeningitis mammarenavirus	3436487	callithrix pygmaea	3433392	0
lymphocytic choriomeningitis mammarenavirus	3436487	cavia porcellus	3434442	0
lymphocytic choriomeningitis mammarenavirus	3436487	cricetulus griseus	3434272	0
lymphocytic choriomeningitis mammarenavirus	3436487	homo sapiens	3433574	0
lymphocytic choriomeningitis mammarenavirus	3436487	meriones unguiculatus	3434305	0
lymphocytic choriomeningitis mammarenavirus	3436487	mesocricetus auratus	3434286	0
lymphocytic choriomeningitis mammarenavirus	3436487	micromys minutus	3438189	0
lymphocytic choriomeningitis mammarenavirus	3436487	microtus agrestis	3443349	0
lymphocytic choriomeningitis mammarenavirus	3436487	microtus arvalis	3472720	0
lymphocytic choriomeningitis mammarenavirus	3436487	microtus pennsylvanicus	3434317	0
lymphocytic choriomeningitis mammarenavirus	3436487	mus musculus	3434366	0
lymphocytic choriomeningitis mammarenavirus	3436487	myodes glareolus	3891106	0
